发条橙	167715
黑衣人3	167902
杜拉拉升职记	168337
分手大师	168446
玩具总动员3	168509
美国丽人	168749
私人订制	169423
九品芝麻官	171883
将爱情进行到底	172223
第一战	172391
海豚湾	172420
时空恋旅人	173271
怪兽大学	173385
十二生肖	174134
神探夏洛克	174503
山楂树之恋	174897
杀死比尔	175961
终结者	176431
解救吾先生	176484
诺丁山	176921
魔女宅急便	177118
夜访吸血鬼	177651
聚魂棺	177800
加勒比海盗2	177800
人工智能	177823
我是传奇	178332
宝贝计划	179225
孤儿怨	183282
霍比特人2	184132
史矛革之战	184132
饮食男女	184247
催眠大师	184301
初恋50次	184416
爱在日落黄昏时	184613
变形金刚4	184795
绝迹重生	184795
海底总动员	186453
滚蛋吧	187967
肿瘤君	187967
惊涛怪浪	188854
加勒比海盗4	188854
美国队长3	189108
萤火虫之墓	190121
荒野猎人	190201
钢铁侠3	190990
恐怖直播	191932
海角七号	193262
侏罗纪世界	193362
西游伏妖篇	193853
唐山大地震	195227
煎饼侠	196411
僵尸新娘	196636
全城热恋	198257
饥饿游戏	200218
爱在黎明破晓前	201884
小森林	202675
钢铁侠	203273
老男孩	203550
爱在暹罗	206915
天下无贼	208435
变形金刚2	208759
爆裂鼓手	209174
大鱼海棠	210948
穆赫兰道	212692
第九区	212816
鬼子来了	213057
怪兽电力公司	218849
幽灵公主	219109
音乐之声	219215
拯救大兵瑞恩	219373
非诚勿扰2	220230
猩球崛起	221034
花样年华	221552
玛丽和马克思	222880
七月与安生	223219
唐人街探案	223556
春光乍泄	223674
神奇动物在哪里	225941
模仿游戏	226159
波特与魔法石	226691
明日边缘	226728
猜火车	227507
不能说的秘密	234276
逆转未来	236511
心花路放	236686
惊天魔盗团	237017
驯龙高手	240061
环太平洋	240553
功夫熊猫2	243803
速度与激情7	244262
恋恋笔记本	248931
阳光姐妹淘	249791
哆啦A梦	250027
心灵捕手	250186
血战钢锯岭	251123
阳光灿烂的日子	252028
蓝色大门	254487
双塔奇兵	257184
指环王2	257184
被嫌弃的松子的一生	257388
乱世佳人	258394
死亡诗社	258633
他其实没那么喜欢你	259986
生化危机	260186
两杆大烟枪	260635
飞越疯人院	264386
爱乐之城	267930
亲爱的	269199
黑暗骑士崛起	269589
唐伯虎点秋香	269897
指环王3	272108
王者无敌	272108
喜剧之王	276041
疯狂的石头	278242
人在囧途	278726
布达佩斯大饭店	280108
恐怖游轮	281018
魔戒再现	286843
指环王1	286843
真爱至上	290235
致命ID	292436
和莎莫的500天	293190
天堂电影院	295414
断背山	296584
两小无猜	298458
志明与春娇	301336
入殓师	303170
闻香识女人	303301
穿普拉达的女王	306411
国王的演讲	309612
加勒比海盗	309758
低俗小说	310491
湄公河行动	311015
东邪西毒	316482
寻龙诀	317770
西西里的美丽传说	318569
致命魔术	318809
消失的爱人	319035
釜山行	322313
中国合伙人	324858
夏洛特烦恼	327717
沉默的羔羊	329057
禁闭岛	330832
超能陆战队	332804
西游降魔篇	336333
搏击俱乐部	339008
疯狂原始人	346632
你的名字	348330
北京遇上西雅图	352528
西游记之大圣归来	355323
后会无期	365057
失恋33天	365507
罗马假日	367044
本杰明	371144
巴顿奇事	371144
贫民窟的百万富翁	373913
老炮儿	377138
美人鱼	377554
我爱你	387133
黑天鹅	387812
美丽人生	388786
无间道	389928
波特与死亡圣器	417331
楚门的世界	422218
忠犬八公的故事	423944
放牛班的春天	427673
蝙蝠侠	443581
疯狂动物城	449486
大话西游之大圣娶亲	454947
星际穿越	455364
剪刀手爱德华	457733
飞屋环游记	476006
那些年	476021
我们一起追的女孩	476021
机器人总动员	476583
当幸福来敲门	512265
少年派的奇幻漂流	553265
海上钢琴师	571597
霸王别姬	581226
让子弹飞	587782
千与千寻	623032
三傻大闹宝莱坞	630088
阿甘正传	671141
盗梦空间	725680
泰坦尼克号	777882
这个杀手不太冷	781721
肖申克的救赎	814231
名侦探柯南	923261
